Country Index,Country Name,Year,GDP per-capita (annual)
1,USA,1960,2879
1,USA,1961,2929
1,USA,1962,3103
1,USA,1963,3227
1,USA,1964,3420
1,USA,1965,3667
1,USA,1966,3974
1,USA,1967,4154
1,USA,1968,4494
1,USA,1969,4805
1,USA,1970,4999
1,USA,1971,5362
1,USA,1972,5838
1,USA,1973,6464
1,USA,1974,6951
1,USA,1975,7519
1,USA,1976,8300
1,USA,1977,9146
1,USA,1978,10229
1,USA,1979,11306
1,USA,1980,12186
1,USA,1981,13533
1,USA,1982,13940
1,USA,1983,15008
1,USA,1984,16549
1,USA,1985,17600
1,USA,1986,18439
1,USA,1987,19407
1,USA,1988,20711
1,USA,1989,22047
1,USA,1990,23064
1,USA,1991,23507
1,USA,1992,24509
1,USA,1993,25409
1,USA,1994,26670
1,USA,1995,27574
1,USA,1996,28814
1,USA,1997,30262
1,USA,1998,31519
1,USA,1999,33028
1,USA,2000,34603
1,USA,2001,35341
1,USA,2002,36180
1,USA,2003,37548
3,Austria,1960,1796
3,Austria,1961,1899
3,Austria,1962,1977
3,Austria,1963,2074
3,Austria,1964,2224
3,Austria,1965,2336
3,Austria,1966,2537
3,Austria,1967,2668
3,Austria,1968,2908
3,Austria,1969,3239
3,Austria,1970,3732
3,Austria,1971,4100
3,Austria,1972,4513
3,Austria,1973,4969
3,Austria,1974,5622
3,Austria,1975,6147
3,Austria,1976,6810
3,Austria,1977,7588
3,Austria,1978,8117
3,Austria,1979,9288
3,Austria,1980,10312
3,Austria,1981,11242
3,Austria,1982,12148
3,Austria,1983,13048
3,Austria,1984,13533
3,Austria,1985,14296
3,Austria,1986,14921
3,Austria,1987,15549
3,Austria,1988,16595
3,Austria,1989,17768
3,Austria,1990,19070
3,Austria,1991,20172
3,Austria,1992,20960
3,Austria,1993,21220
3,Austria,1994,22139
3,Austria,1995,22976
3,Austria,1996,24008
3,Austria,1997,24472
3,Austria,1998,25314
3,Austria,1999,26558
3,Austria,2000,28359
3,Austria,2001,28855
3,Austria,2002,29942
3,Austria,2003,30796
7,West Germany,1960,2284
7,West Germany,1961,2388
7,West Germany,1962,2527
7,West Germany,1963,2610
7,West Germany,1964,2806
7,West Germany,1965,3005
7,West Germany,1966,3168
7,West Germany,1967,3241
7,West Germany,1968,3571
7,West Germany,1969,3998
7,West Germany,1970,4367
7,West Germany,1971,4686
7,West Germany,1972,5055
7,West Germany,1973,5553
7,West Germany,1974,6074
7,West Germany,1975,6603
7,West Germany,1976,7367
7,West Germany,1977,8090
7,West Germany,1978,8928
7,West Germany,1979,10067
7,West Germany,1980,11083
7,West Germany,1981,12115
7,West Germany,1982,12761
7,West Germany,1983,13519
7,West Germany,1984,14481
7,West Germany,1985,15291
7,West Germany,1986,15998
7,West Germany,1987,16679
7,West Germany,1988,17786
7,West Germany,1989,18994
7,West Germany,1990,20465
7,West Germany,1991,21602
7,West Germany,1992,22154
7,West Germany,1993,21878
7,West Germany,1994,22371
7,West Germany,1995,23035
7,West Germany,1996,23742
7,West Germany,1997,24156
7,West Germany,1998,24931
7,West Germany,1999,25755
7,West Germany,2000,26943
7,West Germany,2001,27449
7,West Germany,2002,28348
7,West Germany,2003,28855
9,Netherlands,1960,2113
9,Netherlands,1961,2111
9,Netherlands,1962,2275
9,Netherlands,1963,2360
9,Netherlands,1964,2566
9,Netherlands,1965,2739
9,Netherlands,1966,2874
9,Netherlands,1967,3078
9,Netherlands,1968,3399
9,Netherlands,1969,3951
9,Netherlands,1970,4342
9,Netherlands,1971,4705
9,Netherlands,1972,4984
9,Netherlands,1973,5475
9,Netherlands,1974,6165
9,Netherlands,1975,6699
9,Netherlands,1976,7345
9,Netherlands,1977,7959
9,Netherlands,1978,8676
9,Netherlands,1979,9504
9,Netherlands,1980,10458
9,Netherlands,1981,11304
9,Netherlands,1982,11784
9,Netherlands,1983,12419
9,Netherlands,1984,13234
9,Netherlands,1985,13938
9,Netherlands,1986,14613
9,Netherlands,1987,15197
9,Netherlands,1988,16082
9,Netherlands,1989,17387
9,Netherlands,1990,18665
9,Netherlands,1991,19626
9,Netherlands,1992,20224
9,Netherlands,1993,20679
9,Netherlands,1994,21588
9,Netherlands,1995,22585
9,Netherlands,1996,23531
9,Netherlands,1997,24692
9,Netherlands,1998,25811
9,Netherlands,1999,26654
9,Netherlands,2000,28467
9,Netherlands,2001,30359
9,Netherlands,2002,31284
9,Netherlands,2003,31792
12,Switzerland,1960,3387
12,Switzerland,1961,3625
12,Switzerland,1962,3788
12,Switzerland,1963,3946
12,Switzerland,1964,4158
12,Switzerland,1965,4360
12,Switzerland,1966,4575
12,Switzerland,1967,4790
12,Switzerland,1968,5138
12,Switzerland,1969,5645
12,Switzerland,1970,6382
12,Switzerland,1971,6938
12,Switzerland,1972,7406
12,Switzerland,1973,7998
12,Switzerland,1974,8800
12,Switzerland,1975,8934
12,Switzerland,1976,9368
12,Switzerland,1977,10240
12,Switzerland,1978,11003
12,Switzerland,1979,12189
12,Switzerland,1980,13853
12,Switzerland,1981,15338
12,Switzerland,1982,15963
12,Switzerland,1983,16611
12,Switzerland,1984,17710
12,Switzerland,1985,18812
12,Switzerland,1986,19458
12,Switzerland,1987,20120
12,Switzerland,1988,21334
12,Switzerland,1989,22965
12,Switzerland,1990,24518
12,Switzerland,1991,24840
12,Switzerland,1992,25141
12,Switzerland,1993,25427
12,Switzerland,1994,26031
12,Switzerland,1995,26485
12,Switzerland,1996,26394
12,Switzerland,1997,27850
12,Switzerland,1998,28835
12,Switzerland,1999,28887
12,Switzerland,2000,30461
12,Switzerland,2001,30806
12,Switzerland,2002,32751
12,Switzerland,2003,33516
14,Japan,1960,1010
14,Japan,1961,1143
14,Japan,1962,1262
14,Japan,1963,1374
14,Japan,1964,1546
14,Japan,1965,1647
14,Japan,1966,1889
14,Japan,1967,2133
14,Japan,1968,2496
14,Japan,1969,2917
14,Japan,1970,3293
14,Japan,1971,3575
14,Japan,1972,3988
14,Japan,1973,4491
14,Japan,1974,4778
14,Japan,1975,5300
14,Japan,1976,5768
14,Japan,1977,6344
14,Japan,1978,7084
14,Japan,1979,8027
14,Japan,1980,8931
14,Japan,1981,9986
14,Japan,1982,10813
14,Japan,1983,11346
14,Japan,1984,12064
14,Japan,1985,12978
14,Japan,1986,13590
14,Japan,1987,14425
14,Japan,1988,15862
14,Japan,1989,17269
14,Japan,1990,18815
14,Japan,1991,20055
14,Japan,1992,20648
14,Japan,1993,21122
14,Japan,1994,21757
14,Japan,1995,22551
14,Japan,1996,23714
14,Japan,1997,24478
14,Japan,1998,24429
14,Japan,1999,24709
14,Japan,2000,26015
14,Japan,2001,26619
14,Japan,2002,27196
14,Japan,2003,28071